,product,uf,volume,year_month,unit,created_at
49,OLEO DIESEL S-500 ,RIO GRANDE DO SUL,92444.418,2013-01-28,m3,2022-02-22 01:21:55.716025
50,OLEO DIESEL S-500 ,MATO GROSSO DO SUL,5890.73,2013-01-28,m3,2022-02-22 01:21:55.716025
51,OLEO DIESEL S-500 ,MATO GROSSO,981.225,2013-01-28,m3,2022-02-22 01:21:55.716025
52,OLEO DIESEL S-500 ,GOIAS,28780.9,2013-01-28,m3,2022-02-22 01:21:55.716025
53,OLEO DIESEL S-500 ,DISTRITO FEDERAL,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
54,OLEO DIESEL S-1800 ,RONDONIA,57128.718,2013-01-28,m3,2022-02-22 01:21:55.716025
55,OLEO DIESEL S-1800 ,ACRE,14139.166,2013-01-28,m3,2022-02-22 01:21:55.716025
56,OLEO DIESEL S-1800 ,AMAZONAS,97615.793,2013-01-28,m3,2022-02-22 01:21:55.716025
57,OLEO DIESEL S-1800 ,RORAIMA,5462.8,2013-01-28,m3,2022-02-22 01:21:55.716025
58,OLEO DIESEL S-1800 ,PARA,138496.156,2013-01-28,m3,2022-02-22 01:21:55.716025
59,OLEO DIESEL S-1800 ,AMAPA,36902.285,2013-01-28,m3,2022-02-22 01:21:55.716025
60,OLEO DIESEL S-1800 ,TOCANTINS,58116.55,2013-01-28,m3,2022-02-22 01:21:55.716025
61,OLEO DIESEL S-1800 ,MARANHAO,12291.8,2013-01-28,m3,2022-02-22 01:21:55.716025
62,OLEO DIESEL S-1800 ,PIAUI,10.0,2013-01-28,m3,2022-02-22 01:21:55.716025
63,OLEO DIESEL S-1800 ,CEARA,34480.0,2013-01-28,m3,2022-02-22 01:21:55.716025
64,OLEO DIESEL S-1800 ,RIO GRANDE DO NORTE,48146.9,2013-01-28,m3,2022-02-22 01:21:55.716025
65,OLEO DIESEL S-1800 ,PARAIBA,61.0,2013-01-28,m3,2022-02-22 01:21:55.716025
66,OLEO DIESEL S-1800 ,PERNAMBUCO,267.0,2013-01-28,m3,2022-02-22 01:21:55.716025
67,OLEO DIESEL S-1800 ,ALAGOAS,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
68,OLEO DIESEL S-1800 ,SERGIPE,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
69,OLEO DIESEL S-1800 ,BAHIA,0.0,2013-01-28,m3,2022-02-22 01:21:55.716025
70,OLEO DIESEL S-1800 ,MINAS GERAIS,366934.587,2013-01-28,m3,2022-02-22 01:21:55.716025
71,OLEO DIESEL S-1800 ,ESPIRITO SANTO,380.45,2013-01-28,m3,2022-02-22 01:21:55.716025
72,OLEO DIESEL S-1800 ,RIO DE JANEIRO,52102.783,2013-01-28,m3,2022-02-22 01:21:55.716025
73,OLEO DIESEL S-1800 ,SAO PAULO,243383.286,2013-01-28,m3,2022-02-22 01:21:55.716025
74,OLEO DIESEL S-1800 ,PARANA,14536.469,2013-01-28,m3,2022-02-22 01:21:55.716025
75,OLEO DIESEL S-1800 ,SANTA CATARINA,74259.53,2013-01-28,m3,2022-02-22 01:21:55.716025
76,OLEO DIESEL S-1800 ,RIO GRANDE DO SUL,129263.354,2013-01-28,m3,2022-02-22 01:21:55.716025
77,OLEO DIESEL S-1800 ,MATO GROSSO DO SUL,84477.19,2013-01-28,m3,2022-02-22 01:21:55.716025
78,OLEO DIESEL S-1800 ,MATO GROSSO,2381033.995,2013-01-28,m3,2022-02-22 01:21:55.716025
79,OLEO DIESEL S-1800 ,GOIAS,149833.82,2013-01-28,m3,2022-02-22 01:21:55.716025
80,OLEO DIESEL S-1800 ,DISTRITO FEDERAL,29075.876,2013-01-28,m3,2022-02-22 01:21:55.716025
